Ticker,Operacao,Nr Cotas,Data da Operacao,Preco Unitario,Preco Total,Taxa da B3,Taxa da CBLC,Outras Despesas,Preco Final,Subscricao
MCCI11,COMPRA,20,17/01/2023,"89,05","1.781,00","0,08","0,44",,"1.781,52",
PVBI11,COMPRA,10,09/01/2023,"87,00","870,00","0,04","0,22",,"870,26",
HGBS11,COMPRA,5,09/01/2023,"180,45","902,25","0,04","0,22",,"902,51",
NCHB11,COMPRA,9,20/12/2022,"84,80","763,20","0,03","0,19",,"763,42",
RZAT11,COMPRA,10,19/12/2022,"86,00","860,00","0,04","0,21",,"860,25",
RZTR11,COMPRA,10,15/12/2022,"93,40","934,00","0,04","0,23",,"934,27",
NCHB11,COMPRA,10,15/12/2022,"87,45","874,50","0,04","0,22",,"874,76",
BTLG11,COMPRA,10,15/12/2022,"96,20","962,00","0,05","0,24",,"962,29",
RZAT11,COMPRA,10,14/12/2022,"89,70","897,00","0,04","0,22",,"897,26",
MFII11,COMPRA,10,14/12/2022,"92,50","925,00","0,05","0,23",,"925,28",
PVBI11,COMPRA,10,13/12/2022,"90,55","905,50","0,04","0,22",,"905,76",
NCHB11,COMPRA,10,12/12/2022,"90,30","903,00","0,04","0,22",,"903,26",
MFII11,COMPRA,10,12/12/2022,"93,40","934,00","0,05","0,23",,"934,28",
MFII11,COMPRA,10,08/12/2022,"93,50","935,00","0,04","0,23",,"935,27",
BRCO11,COMPRA,10,08/12/2022,"99,90","999,00","0,05","0,25",,"999,30",
CPTI11,COMPRA,10,06/12/2022,"98,50","985,00","0,05","0,25",,"985,30",
RZTR11,COMPRA,10,06/12/2022,"97,55","975,50","0,04","0,24",,"975,78",
PVBI11,COMPRA,10,05/12/2022,"90,50","905,00","0,04","0,22",,"905,26",
CVBI11,COMPRA,15,30/11/2022,"87,75","1.316,25","0,06","0,33",,"1.316,64",
BTLG11,COMPRA,15,23/03/2023,"97,95","1.469,25","0,07","0,36",,"1.469,68",
NCHB11,COMPRA,10,21/11/2022,"91,16","911,60","0,04","0,22",,"911,86",
RECR11,COMPRA,10,17/11/2022,"85,50","855,00","0,04","0,21",,"855,25",
CVBI11,COMPRA,10,17/11/2022,"87,95","879,50","0,04","0,22",,"879,76",
MCCI11,COMPRA,10,17/11/2022,"94,30","943,00","0,05","0,24",,"943,29",
BTLG11,COMPRA,10,17/11/2022,"98,80","988,00","0,05","0,25",,"988,30",
RZAT11,COMPRA,20,17/11/2022,"93,25","1.865,00","0,09","0,47",,"1.865,56",
PVBI11,COMPRA,10,17/11/2022,"93,10","931,00","0,05","0,23",,"931,28",
HGBS11,COMPRA,10,17/11/2022,"191,00","1.910,00","0,09","0,48",,"1.910,57",
PVBI11,COMPRA,10,16/11/2022,"95,50","955,00","0,05","0,24",,"955,29",
HGBS11,COMPRA,10,16/11/2022,"197,50","1.975,00","0,09","0,49",,"1.975,58",
NCHB11,COMPRA,10,14/11/2022,"91,45","914,50","0,04","0,23",,"914,77",
BRCO11,COMPRA,10,14/11/2022,"105,50","1.055,00","0,05","0,26",,"1.055,31",
RZAT11,COMPRA,10,14/11/2022,"96,45","964,50","0,05","0,24",,"964,79",
BTLG11,COMPRA,10,11/11/2022,"100,95","1.009,50","0,05","0,25",,"1.009,80",
BTLG11,COMPRA,10,10/11/2022,"101,25","1.012,50","0,05","0,25",,"1.012,80",
RZAT11,COMPRA,10,10/11/2022,"97,20","972,00","0,04","0,24",,"972,28",
RZAT11,COMPRA,40,03/11/2022,"97,84","3.913,72","0,19","0,97",,"3.914,88",
RZAT11,COMPRA,15,18/10/2022,"98,90","1.483,50","0,07","0,37",,"1.483,94",
CVBI11,COMPRA,14,18/10/2022,"88,40","1.237,60","0,06","0,31",,"1.237,97",
CVBI11,COMPRA,4,17/10/2022,"88,40","353,60","0,01","0,08",,"353,69",
RECR11,COMPRA,15,13/10/2022,"88,25","1.323,75","0,06","0,33",,"1.324,14",
CVBI11,COMPRA,15,03/10/2022,"88,45","1.326,75","0,06","0,33",,"1.327,14",
CVBI11,COMPRA,10,29/09/2022,"89,85","898,50","0,04","0,22",,"898,76",
RECR11,COMPRA,10,28/09/2022,"89,70","897,00","0,04","0,22",,"897,26",
HGLG11,COMPRA,9,10/8/2020,"155,37","1.398,33","0,00","0,00",,"1.398,33",SUBSCRIÇÃO
SAAG11,VENDA,-260,22/4/2020,"126,73","-32.950,97","0,00","0,00",,"-32.950,97",
RZAT11,COMPRA,10,23/9/2022,"100,50","1.005,00","0,05","0,25",,"1.005,30",
CVBI11,COMPRA,10,23/9/2022,"90,45","904,50","0,04","0,22",,"904,77",
CPTI11,COMPRA,20,19/9/2022,"100,10","2.002,00","0,10","0,50",,"2.002,59",
CVBI11,COMPRA,20,19/9/2022,"90,40","1.808,00","0,09","0,45",,"1.808,54",
NCHB11,COMPRA,10,24/8/2022,"91,90","919,00","0,04","0,22",,"919,26",
RZAT11,COMPRA,20,23/8/2022,"100,94","2.018,80","0,10","0,50",,"2.019,40",
RZAT11,COMPRA,10,22/8/2022,"101,20","1.012,00","0,05","0,25",,"1.012,30",
CPTI11,COMPRA,20,19/8/2022,"100,95","2.019,00","0,10","0,50",,"2.019,60",
NCHB11,COMPRA,15,12/8/2022,"90,60","1.359,00","0,06","0,33",,"1.359,39",
NCHB11,COMPRA,10,10/8/2022,"91,10","911,00","0,04","0,23",,"911,27",
RZAT11,COMPRA,15,29/7/2022,"102,61","1.539,15","0,07","0,38",,"1.539,61",
RZAT11,COMPRA,25,29/7/2022,"103,31","2.582,75","0,13","0,65",,"2.583,53",
BTLG11,COMPRA,40,18/7/2022,"97,33","3.893,00","0,19","0,97",,"3.894,15",
BTLG11,COMPRA,10,12/7/2022,"97,50","975,00","0,04","0,24",,"975,28",
BTLG11,COMPRA,20,6/7/2022,"97,55","1.951,00","0,09","0,49",,"1.951,58",
RZTR11,COMPRA,20,1/7/2022,"99,90","1.998,00","0,10","0,50",,"1.998,59",
BTLG11,COMPRA,20,1/7/2022,"99,40","1.988,00","0,09","0,49",,"1.988,59",
BTLG11,COMPRA,30,24/6/2022,"99,90","2.997,00","0,14","0,74",,"2.997,88",
RZTR11,COMPRA,20,23/6/2022,"100,50","2.010,00","0,10","0,50",,"2.010,60",
BRCO11,COMPRA,20,23/6/2022,"97,90","1.958,00","0,09","0,49",,"1.958,58",
BRCO11,COMPRA,30,20/6/2022,"97,85","2.935,50","0,14","0,73",,"2.936,37",
HGRE11,COMPRA,20,17/6/2022,"126,80","2.536,00","0,12","0,63",,"2.536,75",
BRCO11,COMPRA,10,17/6/2022,"98,00","980,00","0,05","0,24",,"980,29",
RZTR11,COMPRA,20,27/5/2022,"103,00","2.060,00","0,10","0,51",,"2.060,61",
HGRE11,COMPRA,20,26/5/2022,"126,50","2.530,00","0,12","0,63",,"2.530,75",
RZAT11,COMPRA,10,19/5/2022,"104,80","1.048,00","0,05","0,26",,"1.048,31",
RZAT11,COMPRA,20,17/5/2022,"104,80","2.096,00","0,10","0,52",,"2.096,62",
MFII11,COMPRA,20,16/5/2022,"96,00","1.920,00","0,09","0,48",,"1.920,57",
LVBI11,COMPRA,30,5/5/2022,"97,50","2.925,00","0,14","0,73",,"2.925,87",
LVBI11,COMPRA,65,29/4/2022,"99,71","6.481,15","0,32","1,62",,"6.483,09",
BRCO11,COMPRA,30,17/3/2022,"95,13","2.853,90","0,14","0,71",,"2.854,75",
LVBI11,COMPRA,30,9/3/2022,"97,50","2.925,00","0,15","0,73",,"2.925,88",
LVBI11,COMPRA,30,24/2/2022,"98,00","2.940,00","0,15","0,74",,"2.940,89",
CPTI11,COMPRA,20,23/2/2022,"100,56","2.011,20","0,10","0,50",,"2.011,80",
BRCO11,COMPRA,20,31/1/2022,"98,00","1.960,00","0,06","0,30",,"1.960,36",
CPTI11,COMPRA,30,31/1/2022,"99,96","2.998,80","0,09","0,45",,"2.999,34",
NCHB11,COMPRA,17,22/12/2021,"91,00","1.547,00","0,07","0,38",,"1.547,45",
TGAR11,COMPRA,30,21/12/2021,"112,90","3.387,00","0,16","0,84",,"3.388,00",
TGAR11,COMPRA,30,1/12/2021,"111,81","3.354,30","0,16","0,83",,"3.355,29",
LVBI11,COMPRA,50,29/11/2021,"85,80","4.290,00","0,21","1,07",,"4.291,28",
TGAR11,COMPRA,20,17/11/2021,"113,80","2.276,00","0,15","0,56",,"2.276,71",
HGRE11,COMPRA,20,16/11/2021,"117,30","2.346,00","0,11","0,58",,"2.346,69",
HGLG11,COMPRA,20,16/11/2021,"159,55","3.191,00","0,16","0,80",,"3.191,96",
MFII11,COMPRA,30,29/10/2021,"113,85","3.415,50","0,14","0,85",,"3.416,49",
CVBI11,COMPRA,30,29/10/2021,"101,50","3.045,00","0,15","0,76",,"3.045,91",
RZTR11,COMPRA,30,28/10/2021,"96,15","2.884,50","0,14","0,72",,"2.885,36",
RZTR11,COMPRA,30,28/10/2021,"96,20","2.886,00","0,14","0,72",,"2.886,86",
HGLG11,COMPRA,25,28/10/2021,"164,50","4.112,50","0,21","1,03",,"4.113,74",
HGLG11,COMPRA,30,28/10/2021,"165,00","4.950,00","0,25","1,23",,"4.951,48",
LVBI11,COMPRA,30,26/10/2021,"97,50","2.925,00","0,14","0,73",,"2.925,87",
RZTR11,COMPRA,30,26/10/2021,"96,50","2.895,00","0,14","0,72",,"2.895,86",
RZTR11,COMPRA,40,26/10/2021,"97,00","3.880,00","0,19","0,97",,"3.881,16",
LVBI11,COMPRA,30,21/10/2021,"100,00","3.000,00","0,15","0,75",,"3.000,90",
HGRE11,COMPRA,30,20/10/2021,"129,00","3.870,00","0,19","0,96",,"3.871,15",
HGRE11,COMPRA,30,20/10/2021,"129,48","3.884,40","0,19","0,96",,"3.885,55",
HGRE11,COMPRA,30,4/10/2021,"129,00","3.870,00","0,19","0,96",,"3.871,15",
LVBI11,COMPRA,20,1/10/2021,"100,50","2.010,00","0,10","0,50",,"2.010,60",
HGLG11,COMPRA,11,20/9/2021,"161,35","1.774,85","0,08","0,44",,"1.775,37",
