Ticker,Operacao,Nr Cotas,Data da Operacao,Preco Unitario,Preco Total,Taxa da B3,Taxa da CBLC,Outras Despesas,Preco Final,Subscricao
RBED11,COMPRA,50,05/11/2020,"159,00","7.950,00","0,26","2,18",,"7.952,44",
RECR11,COMPRA,42,04/11/2020,"90,00","3.780,00","0,00","0,00","0,00","3.780,00",SUBSCRIÇÃO
RBRP11,COMPRA,30,30/10/2020,"92,50","2.775,00","0,08","0,76",,"2.775,84",
RECR11,COMPRA,55,20/10/2020,"90,00","4.950,00","0,00","0,00",,"4.950,00",SUBSCRIÇÃO
HCTR11,COMPRA,27,16/10/2020,"116,69","3.150,63","0,00","0,00",,"3.150,63",SUBSCRIÇÃO
HCTR11,COMPRA,30,01/10/2020,"116,69","3.500,70","0,00","0,00",,"3.500,70",SUBSCRIÇÃO
RECR11,COMPRA,35,02/10/2020,"96,85","3.389,75","0,10","0,93",,"3.390,78",
RBRP11,COMPRA,30,02/10/2020,"93,90","2.817,00","0,09","0,77",,"2.817,86",
HFOF11,VENDA,-124,09/09/2020,"112,50","-13.950,00","0,83","4,31","0,98","-13.943,88",
HFOF11,VENDA,-52,09/09/2020,"112,34","-5.841,68","0,32","1,13",,"-5.840,23",
TGAR11,COMPRA,150,10/09/2020,"130,20","19.530,00","0,61","5,37",,"19.535,98",
TGAR11,COMPRA,40,11/09/2020,"130,22","5.208,80","0,22","1,43",,"5.210,46",
HBRH11,COMPRA,10,11/09/2020,"97,45","974,50","0,04","0,27",,"974,81",
HBRH11,COMPRA,40,11/09/2020,"97,40","3.896,00","0,17","1,07",,"3.897,24",
HBRH11,COMPRA,13,11/09/2020,"97,39","1.266,07","0,05","0,35",,"1.266,47",
HBRH11,COMPRA,12,11/09/2020,"97,48","1.169,76","0,05","0,32",,"1.170,13",
MGFF11,VENDA,-3,11/09/2020,"92,74","-278,22","0,01","0,08",,"-278,13",
MGFF11,VENDA,-46,11/09/2020,"92,71","-4.264,66","0,13","1,17","0,60","-4.262,76",
MGFF11,VENDA,-34,11/09/2020,"92,68","-3.151,12","0,10","0,87",,"-3.150,15",
MGFF11,VENDA,-1,11/09/2020,"92,79","-92,79","0,00","0,04",,"-92,75",
MGFF11,VENDA,-46,11/09/2020,"92,66","-4.262,36","0,13","1,15",,"-4.261,08",
HCTR11,COMPRA,60,14/09/2020,"126,75","7.605,00","0,24","2,09",,"7.607,33",
HGRE11,VENDA,-19,14/09/2020,"153,60","-2.918,40","0,07","0,80","0,42","-2.917,11",
HGRE11,VENDA,-36,14/09/2020,"153,61","-5.529,96","0,19","1,52",,"-5.528,25",
HCTR11,COMPRA,20,15/09/2020,"125,52","2.510,40","0,07","0,69",,"2.511,16",
HCTR11,COMPRA,30,25/09/2020,"127,05","3.811,50","0,12","1,05",,"3.812,67",
MGFF11,VENDA,-210,25/09/2020,"92,20","-19.362,00","0,60","5,32","0,96","-19.355,12",
RECR11,COMPRA,90,25/09/2020,"101,87","9.168,30","0,29","2,52",,"9.171,11",
RECR11,COMPRA,40,25/09/2020,"101,94","4.077,60","0,12","1,12",,"4.078,84",
RECR11,COMPRA,50,25/09/2020,"101,98","5.099,00","0,16","1,40",,"5.100,56",
TGAR11,COMPRA,10,25/09/2020,"130,89","1.308,90","0,04","0,36",,"1.309,30",
VTLT11,COMPRA,20,25/09/2020,"118,00","2.360,00","0,07","0,65",,"2.360,72",
RBVA11,VENDA,-70,25/09/2020,"119,50","-8.365,00","0,36","2,30","0,42","-8.361,92",
XPLG11,VENDA,-15,28/09/2020,"129,63","-1.944,45","0,06","0,53","0,09","-1.943,77",
MFII11,COMPRA,30,29/09/2020,"126,65","3.799,50","0,12","1,04",,"3.800,66",
RBED11,COMPRA,20,29/09/2020,"163,40","3.268,00","0,10","0,90",,"3.269,00",
RBRP11,COMPRA,75,30/09/2020,"93,17","6.987,75","0,21","1,92",,"6.989,88",
LVBI11,COMPRA,67,16/09/2020,"118,00","7.906,00","0,00","0,00",,"7.906,00",SUBSCRIÇÃO
BBPO11,VENDA,-45,06/08/2020,"135,99","-6.119,55","0,19","1,68","0,30","-6.117,38",
RBVA11,COMPRA,70,06/08/2020,"121,35","8.494,50","0,27","2,33",,"8.497,10",
VINO11,COMPRA,200,21/08/2020,"57,50","11.500,00","0,37","3,16",,"11.503,53",
VINO11,COMPRA,200,21/08/2020,"57,39","11.478,00","0,36","3,15",,"11.481,51",
HGCR11,VENDA,-160,26/08/2020,"102,95","-16.472,00","0,52","4,53","0,82","-16.466,13",
MCCI11,COMPRA,175,26/08/2020,"100,01","17.501,75","0,61","4,81",,"17.507,17",
MCCI11,COMPRA,80,26/08/2020,"99,95","7.996,00","0,20","2,20",,"7.998,40",
VINO11,COMPRA,100,26/08/2020,"57,48","5.748,00","0,18","1,58",,"5.749,76",
XPML11,VENDA,-30,26/08/2020,"110,04","-3.301,20","0,06","0,91",,"-3.300,23",
XPML11,VENDA,-104,26/08/2020,"110,07","-11.447,28","0,41","3,14","0,74","-11.442,99",
HGBS11,VENDA,-20,27/08/2020,"213,66","-4.273,20","0,10","1,17",,"-4.271,93",
HGBS11,VENDA,-45,27/08/2020,"213,70","-9.616,50","0,34","2,64","0,69","-9.612,83",
VTLT11,COMPRA,120,27/08/2020,"113,48","13.617,60","0,46","3,74",,"13.621,80",
VTLT11,COMPRA,80,27/08/2020,"113,50","9.080,00","0,26","2,50",,"9.082,76",
HGRE11,COMPRA,35,28/08/2020,"144,38","5.053,30","0,16","1,39",,"5.054,85",
HGRE11,COMPRA,35,28/08/2020,"146,00","5.110,00","0,16","1,40",,"5.111,56",
